industry,orgSize,intSecStaff,intSecStaff2,intJuniorStaff,intGenStaff,intMonStaff,intIRStaff,intTIStaff,budget
Technology,"2,001 to 5,000",,,,,,,,
Manufacturing,"15,001 to 50,000",,,,,,,,
Transportation,"More than 100,000",,,,,,,,
Manufacturing,"501 to 1,000",,,,,,,,
Education,"501 to 1,000",,,,,,,,
Government,"10,001 to 15,000",,,,,,,,
Government,"1,001 to 2,000",,,,,,,,
Technology,101 to 500,,,,,,,,
Manufacturing,"15,001 to 50,000",,,,,,,,
Government,"1,001 to 2,000",,,,,,,,
Technology,"15,001 to 50,000",,,,,,,,
Other (Please specify),"More than 100,000",,,,,,,,
Banking and finance,101 to 500,,,,,,,,
Telecommunications/ISP,"10,001 to 15,000",,,,,,,,
Technology,"10,001 to 15,000",,,,,,,,
Other (Please specify),Fewer than 100,,,,,,,,
Technology,"More than 100,000",26 to 100,26 to 100,2 to 10,2 to 10,1,2 to 10,2 to 10,$1 million to $2 million USD
Manufacturing,101 to 500,,,,,,,,
Education,Fewer than 100,,,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,
Technology,"501 to 1,000",,,,,,,,
Education,"5,001 to 10,000",,,,,,,,
Cybersecurity,Fewer than 100,,,,,,,,
Utilities,"2,001 to 5,000",,,,,,,,
Banking and finance,Fewer than 100,,,,,,,,
Cybersecurity,Fewer than 100,,,,,,,,
Other (Please specify),"More than 100,000",,2 to 10,,,,,,
Banking and finance,101 to 500,,,,,,,,
Government,101 to 500,,,,,,,,
Government,101 to 500,,,,,,,,
Telecommunications/ISP,101 to 500,,,,,,,,
Insurance,101 to 500,,2 to 10,1,1,Less than 1 ,Less than 1 ,Less than 1 ,
Technology,Fewer than 100,,,,,,,,
Technology,"501 to 1,000",,,,,,,,
Education,"5,001 to 10,000",,,,,,,,
Other (Please specify),"2,001 to 5,000",,,,,,,,
Technology,Fewer than 100,,,,,,,,
Technology,"501 to 1,000",,,,,,,,
Insurance,"2,001 to 5,000",,,,,,,,
Government,Fewer than 100,,,,,,,,
Technology,101 to 500,,,,,,,,
Government,"10,001 to 15,000",,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"$750,001 to $1,000,000 USD"
Banking and finance,"50,001 to 100,000",,,,,,,,
Cybersecurity,"1,001 to 2,000",,,,,,,,
Technology,"50,001 to 100,000",2 to 10,2 to 10,,2 to 10,,,26 to 100,
Retail,"5,001 to 10,000",,,,,,,,
Government,"2,001 to 5,000",,,,,,,,
Technology,Fewer than 100,,,,,,,,
Education,"2,001 to 5,000",,,,,,,,
Banking and finance,"15,001 to 50,000",,,,,,,,
Banking and finance,"1,001 to 2,000",,,,,,,,
Cybersecurity,Fewer than 100,,,,,,,,
Technology,"50,001 to 100,000",,,,,,,,
Manufacturing,"1,001 to 2,000",,,,,,,,
Technology,"501 to 1,000",101 to 1000,26 to 100,2 to 10,11 to 25,26 to 100,11 to 25,26 to 100,"Less than $100,000 USD"
Cybersecurity,"5,001 to 10,000",101 to 1000,26 to 100,26 to 100,11 to 25,2 to 10,1,2 to 10,"$100,001 to 250,000 USD"
Technology,Fewer than 100,,,,,,,,
Government,"501 to 1,000",,,,,,,,
Other (Please specify),"2,001 to 5,000",26 to 100,26 to 100,2 to 10,11 to 25,11 to 25,2 to 10,2 to 10,$2 million to $4 million USD
Technology,101 to 500,,,,,,,,
Government,"2,001 to 5,000",,,,,,,,
Education,"5,001 to 10,000",,,,,,,,
Cybersecurity,"501 to 1,000",,,,,,,,
Government,"1,001 to 2,000",,,,,,,,
Technology,"10,001 to 15,000",,,,,,,,
Other (Please specify),Fewer than 100,,,,,,,,
Banking and finance,101 to 500,,,,,,,,
